UID,Age,RenovAge,Distance,IsRenovated,AgeSq,InteractionAgeDistance,LogInteraction,SubType,AdCreationAge,AskingPricePerSqm,SquareMeters,LandplotSize,NoView,ViewForest,ViewMountain,ViewSea,ViewUnlimited,NoFacade,FacadeCorner,FacadeFrontage,FacadeInterior,FacadeThrough,HeatType,HeatFrom,EnergyPerformance,WC,AC,Elevator,Parking,StorageRoom,AluminumFrames,Bedrooms,Pool,Garden,FloorLevel,FloorCount,GeoLat,GeoLon,ZoneValue,MarketabillityFactor,AskingPrice,AdminName
property_01KP5V1MFZ7795BQHW83EBG639,2,2,0,0,4,0,0,maisonette,8,17.985611510791365,139,139,0,0,0,0,0,0,0,1,0,1,autonomous_central,,Α+,2,0,0,0,1,1,3,0,0,6,2,38.0035508,23.8148525,1800,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5VZ30Q3XZZ3XPRN6QDWYVP,2,2,0,0,4,0,0,apartment,11,21.774193548387096,62,62,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,,1,1,0,1,0,0,2,0,0,0,1,38.0058985,23.8220601,2050,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5TY3ESDHHJQ3R24JG69CGQ,2,2,0,0,4,0,0,apartment,2,15.573770491803279,122,122,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,Α+,2,1,0,1,0,0,3,0,0,1,1,38.0071966,23.856359,1350,1,0,Περιφερειακή Ενότητα Ανατολικής Αττικής
property_01KP5W1P58M01SNFVNREV8GTRH,2,2,0,0,4,0,0,apartment,14,24,50,1000,0,0,0,0,0,0,0,1,0,0,autonomous_individual,natural_gas,Α+,1,1,0,1,1,1,1,1,0,1,1,38.0123092,23.8289387,2050,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5VXXJA31ZCPG9KTK4G8KKC,2,2,0,0,4,0,0,apartment,14,16.35135135135135,74,74,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,Η,1,1,0,1,0,0,2,0,0,4,1,38.0153746,23.8259977,1750,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5VBR9CHTBSFVZ3ZC3MJKC4,2,2,0,0,4,0,0,apartment,12,15.764705882352942,85,85,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,Η,2,1,0,1,0,0,2,0,0,5,1,38.0153746,23.8259977,1750,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5VYDQC2TW7SZAJJDF6D9M8,2,2,0,0,4,0,0,apartment,13,15.675675675675675,74,74,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,Η,1,1,0,1,0,0,2,0,0,3,1,38.0153746,23.8259977,1750,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5VA15HXFF56MP69NPV70HR,2,2,0,0,4,0,0,apartment,12,13.80952380952381,84,84,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,Η,1,1,0,1,0,0,2,0,0,4,1,38.0153746,23.8259977,1750,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KR3WYZZYADJD3Y9YDAH2XGQW,2,2,0,0,4,0,0,apartment,13,18.205128205128204,78,78,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,Η,1,1,0,1,0,0,2,0,0,2,1,38.0153746,23.8259977,1750,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5VCXYFSHX4AKRZSGKY7TD8,2,2,0,0,4,0,0,apartment,14,14.761904761904763,84,84,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,Η,1,1,0,1,0,0,2,0,0,1,1,38.0153746,23.8259977,1750,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KP5VWMMCMXNFCW3NF06NQN3M,2,2,0,0,4,0,0,apartment,13,18.392857142857142,56,56,0,0,0,0,0,0,0,0,0,0,autonomous_individual,electricity,Η,1,1,0,1,0,0,1,0,0,1,1,38.0153746,23.8259977,1750,1,0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών
property_01KR3XWRMVZGAV9S758RFH6EQK,2,2,0,0,4,0,0,maisonette,2,13.181818181818182,110,110,0,0,0,1,0,0,0,0,0,1,autonomous_individual,,Α+,1,0,0,1,1,1,3,0,0,4,2,38.0168347,24.0157895,1600,1,0,Περιφερειακή Ενότητα Ανατολικής Αττικής
